# AFT geometry generated from EventDisp2DwithAFTKK.cc
#
# Units: mm
# fiberID assignment:
#   scan aft_de_low_cut[36][32] in increasing [plane][segment] order;
#   skip nonexistent Y/Y' segments 16..31.
# planeID:
#   -1 = unset. This field is reserved for the EASIROC plane ID and can be
#   filled manually later.
#
# Columns:
# fiberID planeID globalLayerID layerType layerIndex fiberIndex centerX centerY centerZ dirX dirY dirZ length radius
#
213 -1  8 X  2 21  16.831271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
214 -1  8 X  2 22  19.931271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
215 -1  8 X  2 23  23.031271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
216 -1  8 X  2 24  26.131271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
217 -1  8 X  2 25  29.231271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
218 -1  8 X  2 26  32.331271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
219 -1  8 X  2 27  35.431271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
220 -1  8 X  2 28  38.531271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
221 -1  8 X  2 29  41.631271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
222 -1  8 X  2 30  44.731271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
223 -1  8 X  2 31  47.831271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
224 -1  9 XP 2  0 -49.818729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
225 -1  9 XP 2  1 -46.718729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
226 -1  9 XP 2  2 -43.618729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
227 -1  9 XP 2  3 -40.518729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
228 -1  9 XP 2  4 -37.418729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
229 -1  9 XP 2  5 -34.318729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
230 -1  9 XP 2  6 -31.218729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
231 -1  9 XP 2  7 -28.118729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
232 -1  9 XP 2  8 -25.018729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
